,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,1408.1800175420417,1112.6121179892555,1244.5760723663523,4418.587028444633,0.0,0.0
6,2022-08-12,2816.3600350840834,2225.224235978511,2489.1521447327045,8837.174056889266,0.0,0.0
7,2022-08-13,4224.540052626125,3337.8363539677666,3733.7282170990575,13255.761085333897,0.0,0.0
8,2022-08-14,5632.720070168167,4450.448471957022,4978.304289465409,17674.34811377853,0.0,0.0
9,2022-08-15,7040.900087710208,5563.060589946277,6222.880361831762,22092.935142223163,0.0,0.0
10,2022-08-16,8449.08010525225,6675.672707935533,7467.456434198114,26511.522170667795,0.0,0.0
11,2022-08-17,9857.260122794292,7788.284825924789,8712.032506564467,30930.109199112423,0.0,0.0
12,2022-08-18,9688.399090932144,7956.045108106549,7884.264171527428,26566.196044546476,0.0,0.0
13,2022-08-19,9519.538059069995,8123.80539028831,7056.495836490389,22202.282889980524,0.0,0.0
14,2022-08-20,9350.677027207847,8291.565672470071,6228.727501453351,17838.369735414577,0.0,0.0
15,2022-08-21,9181.815995345698,8459.325954651833,5400.959166416311,13474.456580848628,0.0,0.0
16,2022-08-22,9012.954963483551,8627.086236833593,4573.190831379273,9110.54342628268,0.0,0.0
17,2022-08-23,8844.093931621397,8794.846519015353,3745.422496342235,4746.630271716727,0.0,0.0
18,2022-08-24,8675.23289975925,8962.606801197113,2917.6541613051972,382.71711715078254,0.0,0.0
19,2022-08-25,8878.113283348395,9246.87466581437,3155.5148359963164,1943.7419166024442,1280.254847663439,2959.0106530347457
20,2022-08-26,9080.993666937538,9531.14253043163,3393.375510687437,3504.76671605411,2560.509695326878,5918.021306069491
21,2022-08-27,9283.874050526683,9815.410395048882,3631.2361853785555,5065.791515505772,3840.7645429903178,8877.031959104235
22,2022-08-28,9486.754434115826,10099.678259666141,3869.0968600696783,6626.816314957433,5121.019390653756,11836.042612138983
23,2022-08-29,9689.634817704971,10383.946124283402,4106.957534760798,8187.841114409095,6401.274238317196,14795.053265173729
24,2022-08-30,9892.51520129412,10668.213988900656,4344.818209451917,9748.865913860762,7681.5290859806355,17754.06391820847
25,2022-08-31,10095.395584883265,10952.481853517913,4582.678884143036,11309.890713312423,8961.783933644074,20713.07457124322
26,2022-09-01,10281.835091643354,11210.958316497186,4793.207797385457,12652.457691938485,10170.747514357752,21434.22620967782
27,2022-09-02,10468.27459840344,11469.434779476458,5003.736710627876,13995.02467056455,11379.711095071432,22155.377848112425
28,2022-09-03,10654.714105163532,11727.911242455724,5214.2656238702975,15337.591649190612,12588.674675785109,22876.529486547035
29,2022-09-04,10841.153611923624,11986.387705434996,5424.794537112716,16680.158627816676,13797.63825649879,23597.68112498164
30,2022-09-05,11027.593118683715,12244.864168414266,5635.323450355136,18022.72560644274,15006.601837212467,24318.83276341624
