,date,0_4,5_12,13_17,18_49,50_64,65+
0,2022-08-06,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-08-10,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-08-11,307.59406243464997,862.4275804439787,792.038177387127,1476.759824459145,0.0,0.0
6,2022-08-12,615.1881248692999,1724.8551608879575,1584.076354774254,2953.51964891829,0.0,0.0
7,2022-08-13,922.78218730395,2587.2827413319364,2376.1145321613812,4430.279473377434,0.0,0.0
8,2022-08-14,1230.3762497385999,3449.710321775915,3168.152709548508,5907.03929783658,0.0,0.0
9,2022-08-15,1537.9703121732498,4312.137902219894,3960.190886935635,7383.799122295725,0.0,0.0
10,2022-08-16,1845.5643746079,5174.565482663873,4752.2290643227625,8860.558946754869,0.0,0.0
11,2022-08-17,2153.15843704255,6036.993063107852,5544.267241709889,10337.318771214015,0.0,0.0
12,2022-08-18,2197.4030941834594,5290.796077329258,4752.2290643227625,8860.55894675487,0.0,106.10903213149678
13,2022-08-19,2241.647751324369,4544.599091550664,3960.1908869356353,7383.799122295725,0.0,212.21806426299355
14,2022-08-20,2285.8924084652785,3798.4021057720697,3168.152709548508,5907.039297836581,0.0,318.3270963944903
15,2022-08-21,2330.1370656061877,3052.2051199934754,2376.1145321613812,4430.279473377435,0.0,424.4361285259871
16,2022-08-22,2374.3817227470972,2306.0081342148815,1584.0763547742547,2953.5196489182904,0.0,530.545160657484
17,2022-08-23,2418.626379888007,1559.8111484362867,792.0381773871269,1476.7598244591459,0.0,636.6541927889806
18,2022-08-24,2462.8710370289164,813.6141626576924,0.0,0.0,0.0,742.7632249204775
19,2022-08-25,2561.1702472133375,1022.7524257674619,14.353669494015648,508.2410465547299,393.5847786269451,1764.5283977199886
20,2022-08-26,2659.469457397758,1231.8906888772322,28.707338988032056,1016.4820931094598,787.1695572538902,2786.2935705194986
21,2022-08-27,2757.7686675821797,1441.028951987002,43.061008482047704,1524.7231396641885,1180.7543358808352,3808.058743319011
22,2022-08-28,2856.067877766601,1650.1672150967709,57.414677976063345,2032.9641862189183,1574.3391145077803,4829.823916118521
23,2022-08-29,2954.3670879510223,1859.305478206541,71.76834747007901,2541.2052327736483,1967.9238931347256,5851.589088918031
24,2022-08-30,3052.6662981354425,2068.443741316311,86.12201696409541,3049.446279328378,2361.5086717616705,6873.354261717543
25,2022-08-31,3150.965508319864,2277.5820044260813,100.47568645811104,3557.687325883108,2755.0934503886156,7895.1194345170525
26,2022-09-01,3239.678751975374,2459.3270456635873,233.32902033806323,4023.4820218935806,3469.1826229535072,8176.070413960998
27,2022-09-02,3328.3919956308832,2641.0720869010925,366.18235421801467,4489.276717904054,4183.271795518399,8457.021393404943
28,2022-09-03,3417.105239286393,2822.8171281385985,499.0356880979661,4955.0714139145275,4897.36096808329,8737.972372848888
29,2022-09-04,3505.818482941902,3004.5621693761072,631.8890219779183,5420.866109925,5611.450140648181,9018.923352292835
